model,type,features,eigenvalue,eig_dest,gap_dest,survived
real,baseline,ALL,1.3765,0.0000,0.0000,True
M1,pairwise,F1+F2,0.0496,0.9640,0.9567,False
M2,pairwise,F1+F3,0.0000,1.0000,1.0000,False
M3,pairwise,F1+F4,0.0000,1.0000,1.0000,False
M4,pairwise,F1+F5,0.0000,1.0000,1.0000,False
M5,pairwise,F2+F3,0.0489,0.9645,0.9562,False
M6,pairwise,F2+F4,0.0508,0.9631,0.9569,False
M7,pairwise,F2+F5,0.0532,0.9613,0.9504,False
M8,pairwise,F3+F4,0.0000,1.0000,1.0000,False
M9,pairwise,F3+F5,0.0000,1.0000,1.0000,False
M10,pairwise,F4+F5,0.0000,1.0000,1.0000,False
M11,triple,F1+F2+F3,0.0496,0.9640,0.9551,False
M12,triple,F1+F2+F4,0.0570,0.9586,0.9461,False
M13,triple,F1+F2+F5,0.0698,0.9493,0.9394,False
M14,triple,F1+F3+F4,0.0000,1.0000,1.0000,False
M15,triple,F1+F3+F5,0.0000,1.0000,1.0000,False
M16,triple,F2+F3+F4,0.0506,0.9632,0.9550,False
M17,triple,F2+F3+F5,0.0742,0.9461,0.9444,False
M18,triple,F1+F4+F5,0.0000,1.0000,1.0000,False
M19,triple,F2+F4+F5,0.0613,0.9555,0.9459,False
M20,triple,F3+F4+F5,0.0000,1.0000,1.0000,False
