model,eig_dest,gap_dest,survived
M1,0.9640,0.9567,False
M2,1.0000,1.0000,False
M3,1.0000,1.0000,False
M4,1.0000,1.0000,False
M5,0.9645,0.9562,False
M6,0.9631,0.9569,False
M7,0.9613,0.9504,False
M8,1.0000,1.0000,False
M9,1.0000,1.0000,False
M10,1.0000,1.0000,False
M11,0.9640,0.9551,False
M12,0.9586,0.9461,False
M13,0.9493,0.9394,False
M14,1.0000,1.0000,False
M15,1.0000,1.0000,False
M16,0.9632,0.9550,False
M17,0.9461,0.9444,False
M18,1.0000,1.0000,False
M19,0.9555,0.9459,False
M20,1.0000,1.0000,False
