system,time_point,organization_level
Kuramoto,0,5.8819
Kuramoto,1,6.4294
Kuramoto,2,5.4042
Kuramoto,3,5.1873
Kuramoto,4,6.4261
Kuramoto,5,6.5440
Kuramoto,6,6.5253
Kuramoto,7,6.3274
Kuramoto,8,6.2374
Kuramoto,9,4.7979
Kuramoto,10,3.9204
Kuramoto,11,4.4392
Kuramoto,12,6.2960
Kuramoto,13,6.5280
Kuramoto,14,6.5615
Kuramoto,15,6.6757
Kuramoto,16,6.7426
Kuramoto,17,6.7123
Kuramoto,18,6.7203
Kuramoto,19,6.7082
Kuramoto,20,6.8147
Kuramoto,21,6.7251
Kuramoto,22,6.7221
Kuramoto,23,6.7255
Kuramoto,24,6.7541
Kuramoto,25,6.7596
Kuramoto,26,6.7249
Kuramoto,27,6.7790
Kuramoto,28,6.7426
Kuramoto,29,6.7402
Kuramoto,30,6.6115
Kuramoto,31,5.1101
Kuramoto,32,3.6686
Kuramoto,33,6.3309
Kuramoto,34,6.7343
Kuramoto,35,6.7823
Kuramoto,36,6.7530
Kuramoto,37,6.7401
Kuramoto,38,6.7629
Kuramoto,39,6.7423
Kuramoto,40,6.7927
Kuramoto,41,6.8106
Kuramoto,42,6.7955
Kuramoto,43,6.8033
Kuramoto,44,6.7203
Kuramoto,45,6.7437
Kuramoto,46,6.7482
Kuramoto,47,6.7802
Kuramoto,48,6.6820
Kuramoto,49,6.6318
Kuramoto,50,6.5702
Kuramoto,51,5.6173
Kuramoto,52,3.9306
Kuramoto,53,4.5538
Kuramoto,54,6.2484
Kuramoto,55,6.6681
Kuramoto,56,6.6274
Kuramoto,57,6.5905
Kuramoto,58,6.6255
Kuramoto,59,6.6845
Kuramoto,60,6.5687
Kuramoto,61,6.6765
Kuramoto,62,6.7287
Kuramoto,63,6.8092
Kuramoto,64,6.8474
Kuramoto,65,6.7893
Kuramoto,66,6.7833
Kuramoto,67,6.8174
Kuramoto,68,6.7693
Kuramoto,69,6.7093
Kuramoto,70,6.5617
Kuramoto,71,6.6654
Kuramoto,72,6.7332
Kuramoto,73,5.8204
Kuramoto,74,2.9370
Kuramoto,75,4.9281
Kuramoto,76,6.4247
Kuramoto,77,6.5516
Kuramoto,78,6.5076
Kuramoto,79,6.6776
Kuramoto,80,6.7767
Kuramoto,81,6.7908
Kuramoto,82,6.7971
Kuramoto,83,6.6179
Kuramoto,84,6.6198
Kuramoto,85,6.4166
Kuramoto,86,6.4888
Kuramoto,87,6.6367
Kuramoto,88,6.7283
Kuramoto,89,6.7111
Kuramoto,90,6.7271
Kuramoto,91,6.5695
Kuramoto,92,6.5820
Kuramoto,93,6.5033
Kuramoto,94,6.7397
Kuramoto,95,6.6290
Kuramoto,96,4.8449
Kuramoto,97,3.8163
Kuramoto,98,6.5432
Kuramoto,99,6.7096
Kuramoto,100,6.7386
Kuramoto,101,6.7469
Kuramoto,102,6.7865
Kuramoto,103,6.7888
Kuramoto,104,6.6984
Kuramoto,105,6.7153
Kuramoto,106,6.7510
Kuramoto,107,6.8009
Kuramoto,108,6.8322
Kuramoto,109,6.7900
Kuramoto,110,6.6896
Kuramoto,111,6.6454
Kuramoto,112,6.7159
Kuramoto,113,6.7294
Kuramoto,114,6.7057
Kuramoto,115,6.4774
Kuramoto,116,5.1271
Kuramoto,117,3.3824
Kuramoto,118,4.3667
Kuramoto,119,6.6536
Kuramoto,120,6.7621
Kuramoto,121,6.8102
Kuramoto,122,6.7298
Kuramoto,123,6.7755
