instability,threshold,assimilation,transition,restructure,collapse,hybrid,reconfig,persist
K-0.2,0.2000,0.7391,1.0000,0.2609,0.0000,1.0000,0.2609,1.0455
K-0.4,0.0000,0.5700,0.0000,0.4300,0.0000,1.0000,0.4300,1.0828
K-0.6,0.0000,0.6890,0.0000,0.3110,0.0000,1.0000,0.3110,1.0510
K-0.8,0.0000,0.7266,1.0000,0.2734,0.0000,1.0000,0.2734,1.0463
K-1.0,0.0000,0.8892,1.0000,0.1108,0.0000,0.0000,0.1108,1.0198
L-0.2,0.0000,0.0000,0.0000,37.7861,1.0000,0.0000,37.7861,0.0542
L-0.4,0.0000,0.0000,0.0000,76.1884,1.0000,0.0000,76.1884,0.0664
L-0.6,0.0000,0.0000,0.0000,610.8596,1.0000,0.0000,610.8596,0.0957
L-0.8,0.0000,0.0000,0.0000,655.9033,1.0000,0.0000,655.9033,0.0829
L-1.0,0.0000,0.0000,0.0000,426.0471,1.0000,0.0000,426.0471,0.0705
