system,metric,value
EEG,attractor_identity_similarity,0.955569
EEG,curvature_preservation,-0.110738
EEG,topological_persistence_overlap,0.115385
EEG,recovery_path_compression,0.529586
EEG,reconstruction_fidelity,-0.010836
EEG,coalition_similarity,0.000000
Kuramoto,attractor_identity_similarity,0.994234
Kuramoto,curvature_preservation,-0.006239
Kuramoto,topological_persistence_overlap,0.055556
Kuramoto,recovery_path_compression,0.479852
Kuramoto,reconstruction_fidelity,0.063506
Kuramoto,coalition_similarity,-0.054879
Logistic,attractor_identity_similarity,0.191365
Logistic,curvature_preservation,0.248558
Logistic,topological_persistence_overlap,0.166667
Logistic,recovery_path_compression,0.286149
Logistic,reconstruction_fidelity,0.232814
Logistic,coalition_similarity,-0.005102
