system,k,metric,value
EEG,1,reconstruction_accuracy,0.903141
EEG,1,persistence_recovery,0.938025
EEG,1,coalition_similarity,0.000000
EEG,1,attractor_similarity,0.518718
EEG,1,spectral_similarity,0.982613
EEG,1,mst_overlap,0.750000
EEG,1,trajectory_divergence,0.580313
EEG,2,reconstruction_accuracy,0.955665
EEG,2,persistence_recovery,0.985176
EEG,2,coalition_similarity,0.000000
EEG,2,attractor_similarity,0.730051
EEG,2,spectral_similarity,0.970688
EEG,2,mst_overlap,0.750000
EEG,2,trajectory_divergence,0.718840
EEG,3,reconstruction_accuracy,0.942885
EEG,3,persistence_recovery,0.987718
EEG,3,coalition_similarity,0.000000
EEG,3,attractor_similarity,0.879880
EEG,3,spectral_similarity,0.975182
EEG,3,mst_overlap,0.750000
EEG,3,trajectory_divergence,0.722409
EEG,5,reconstruction_accuracy,0.930344
EEG,5,persistence_recovery,0.982752
EEG,5,coalition_similarity,0.000000
EEG,5,attractor_similarity,0.881377
EEG,5,spectral_similarity,0.980851
EEG,5,mst_overlap,0.750000
EEG,5,trajectory_divergence,0.707485
EEG,8,reconstruction_accuracy,0.932064
EEG,8,persistence_recovery,0.983819
EEG,8,coalition_similarity,0.000000
EEG,8,attractor_similarity,0.925907
EEG,8,spectral_similarity,0.982404
EEG,8,mst_overlap,0.750000
EEG,8,trajectory_divergence,0.718000
EEG,13,reconstruction_accuracy,0.932064
EEG,13,persistence_recovery,0.983819
EEG,13,coalition_similarity,0.000000
EEG,13,attractor_similarity,0.925907
EEG,13,spectral_similarity,0.982404
EEG,13,mst_overlap,0.750000
EEG,13,trajectory_divergence,0.718000
EEG,21,reconstruction_accuracy,0.932064
EEG,21,persistence_recovery,0.983819
EEG,21,coalition_similarity,0.000000
EEG,21,attractor_similarity,0.925907
EEG,21,spectral_similarity,0.982404
EEG,21,mst_overlap,0.750000
EEG,21,trajectory_divergence,0.718000
Kuramoto,1,reconstruction_accuracy,0.996923
Kuramoto,1,persistence_recovery,0.999673
Kuramoto,1,coalition_similarity,0.000000
Kuramoto,1,attractor_similarity,0.982686
Kuramoto,1,spectral_similarity,0.999419
Kuramoto,1,mst_overlap,0.000000
Kuramoto,1,trajectory_divergence,0.925942
Kuramoto,2,reconstruction_accuracy,0.995071
Kuramoto,2,persistence_recovery,0.999753
