system,ablation,metric,value
EEG,none,persistence_loss,0.000000
EEG,none,attractor_collapse,0.000000
EEG,none,coalition_fragmentation,0.000000
EEG,none,mst_degradation,0.000000
EEG,none,spectral_distortion,0.000000
EEG,none,trajectory_divergence,0.000000
EEG,none,recovery_failure_probability,1.000000
EEG,λ1_only,persistence_loss,0.181818
EEG,λ1_only,attractor_collapse,0.223148
EEG,λ1_only,coalition_fragmentation,0.000000
EEG,λ1_only,mst_degradation,0.714286
EEG,λ1_only,spectral_distortion,0.012614
EEG,λ1_only,trajectory_divergence,0.726453
EEG,λ1_only,recovery_failure_probability,1.000000
EEG,λ1_λ2,persistence_loss,0.142912
EEG,λ1_λ2,attractor_collapse,0.155239
EEG,λ1_λ2,coalition_fragmentation,0.000000
EEG,λ1_λ2,mst_degradation,1.000000
EEG,λ1_λ2,spectral_distortion,0.011187
EEG,λ1_λ2,trajectory_divergence,0.972342
EEG,λ1_λ2,recovery_failure_probability,1.000000
EEG,λ1_λ2_λ3,persistence_loss,0.379467
EEG,λ1_λ2_λ3,attractor_collapse,0.331983
EEG,λ1_λ2_λ3,coalition_fragmentation,0.000000
EEG,λ1_λ2_λ3,mst_degradation,0.714286
EEG,λ1_λ2_λ3,spectral_distortion,0.018907
EEG,λ1_λ2_λ3,trajectory_divergence,0.977024
EEG,λ1_λ2_λ3,recovery_failure_probability,1.000000
Kuramoto,none,persistence_loss,0.000000
Kuramoto,none,attractor_collapse,0.000000
Kuramoto,none,coalition_fragmentation,0.000000
Kuramoto,none,mst_degradation,0.000000
Kuramoto,none,spectral_distortion,0.000000
Kuramoto,none,trajectory_divergence,0.000000
Kuramoto,none,recovery_failure_probability,0.000000
Kuramoto,λ1_only,persistence_loss,0.634513
Kuramoto,λ1_only,attractor_collapse,0.798213
Kuramoto,λ1_only,coalition_fragmentation,0.000000
Kuramoto,λ1_only,mst_degradation,0.857143
Kuramoto,λ1_only,spectral_distortion,0.243482
Kuramoto,λ1_only,trajectory_divergence,1.000000
Kuramoto,λ1_only,recovery_failure_probability,0.798213
Kuramoto,λ1_λ2,persistence_loss,0.690860
Kuramoto,λ1_λ2,attractor_collapse,0.820181
Kuramoto,λ1_λ2,coalition_fragmentation,0.000000
Kuramoto,λ1_λ2,mst_degradation,1.000000
Kuramoto,λ1_λ2,spectral_distortion,0.277278
Kuramoto,λ1_λ2,trajectory_divergence,1.000000
Kuramoto,λ1_λ2,recovery_failure_probability,0.820181
Kuramoto,λ1_λ2_λ3,persistence_loss,0.691861
Kuramoto,λ1_λ2_λ3,attractor_collapse,0.803458
Kuramoto,λ1_λ2_λ3,coalition_fragmentation,1.000000
Kuramoto,λ1_λ2_λ3,mst_degradation,0.571429
Kuramoto,λ1_λ2_λ3,spectral_distortion,0.273031
Kuramoto,λ1_λ2_λ3,trajectory_divergence,1.000000
Kuramoto,λ1_λ2_λ3,recovery_failure_probability,0.803458
Logistic,none,persistence_loss,0.000000
Logistic,none,attractor_collapse,0.000000
Logistic,none,coalition_fragmentation,0.000000
Logistic,none,mst_degradation,0.000000
Logistic,none,spectral_distortion,0.000000
Logistic,none,trajectory_divergence,0.000000
Logistic,none,recovery_failure_probability,1.000000
Logistic,λ1_only,persistence_loss,0.000000
Logistic,λ1_only,attractor_collapse,0.000000
Logistic,λ1_only,coalition_fragmentation,0.000000
Logistic,λ1_only,mst_degradation,0.857143
Logistic,λ1_only,spectral_distortion,0.016253
Logistic,λ1_only,trajectory_divergence,0.328373
Logistic,λ1_only,recovery_failure_probability,1.000000
Logistic,λ1_λ2,persistence_loss,0.000000
Logistic,λ1_λ2,attractor_collapse,0.000000
Logistic,λ1_λ2,coalition_fragmentation,0.000000
Logistic,λ1_λ2,mst_degradation,0.571429
Logistic,λ1_λ2,spectral_distortion,0.027443
Logistic,λ1_λ2,trajectory_divergence,0.441894
Logistic,λ1_λ2,recovery_failure_probability,1.000000
Logistic,λ1_λ2_λ3,persistence_loss,0.000000
Logistic,λ1_λ2_λ3,attractor_collapse,0.000000
Logistic,λ1_λ2_λ3,coalition_fragmentation,0.000000
Logistic,λ1_λ2_λ3,mst_degradation,0.285714
Logistic,λ1_λ2_λ3,spectral_distortion,0.081204
Logistic,λ1_λ2_λ3,trajectory_divergence,0.695007
Logistic,λ1_λ2_λ3,recovery_failure_probability,1.000000

system,ablation,real_impairment,control_mean,causal_impact
EEG,λ1_only,0.408331,0.491604,0.000000
EEG,λ1_λ2,0.468812,0.632643,0.000000
EEG,λ1_λ2_λ3,0.488810,0.756720,0.000000
Kuramoto,λ1_only,0.618795,0.586495,0.032300
Kuramoto,λ1_λ2,0.658357,0.642988,0.015369
Kuramoto,λ1_λ2_λ3,0.734748,0.725306,0.009442
Logistic,λ1_only,0.314538,0.441841,0.000000
Logistic,λ1_λ2,0.291538,0.583763,0.000000
Logistic,λ1_λ2_λ3,0.294561,0.697564,0.000000
