system,transform_type,transform_name,metric,value
EEG,basis_preserving,orthogonal_rotation,correlation_similarity,0.272529
EEG,basis_preserving,orthogonal_rotation,mst_similarity,0.166667
EEG,basis_preserving,orthogonal_rotation,eigenvector_similarity,0.696843
EEG,basis_preserving,orthogonal_rotation,frobenius_similarity,0.249025
EEG,basis_preserving,eigenbasis_permutation,correlation_similarity,0.865952
EEG,basis_preserving,eigenbasis_permutation,mst_similarity,0.555556
EEG,basis_preserving,eigenbasis_permutation,eigenvector_similarity,0.970455
EEG,basis_preserving,eigenbasis_permutation,frobenius_similarity,0.667053
EEG,basis_preserving,coordinate_scramble,correlation_similarity,0.731928
EEG,basis_preserving,coordinate_scramble,mst_similarity,0.400000
EEG,basis_preserving,coordinate_scramble,eigenvector_similarity,0.972129
EEG,basis_preserving,coordinate_scramble,frobenius_similarity,0.517730
EEG,basis_preserving,pca_basis_identity,correlation_similarity,1.000000
EEG,basis_preserving,pca_basis_identity,mst_similarity,1.000000
EEG,basis_preserving,pca_basis_identity,eigenvector_similarity,1.000000
EEG,basis_preserving,pca_basis_identity,frobenius_similarity,1.000000
EEG,basis_preserving,invertible_linear,correlation_similarity,0.862462
EEG,basis_preserving,invertible_linear,mst_similarity,0.400000
EEG,basis_preserving,invertible_linear,eigenvector_similarity,0.956383
EEG,basis_preserving,invertible_linear,frobenius_similarity,0.636452
EEG,basis_preserving,nonlinear_warp,correlation_similarity,0.999318
EEG,basis_preserving,nonlinear_warp,mst_similarity,1.000000
EEG,basis_preserving,nonlinear_warp,eigenvector_similarity,0.999430
EEG,basis_preserving,nonlinear_warp,frobenius_similarity,0.975216
EEG,relation_destroying,triadic_destruction,correlation_similarity,1.000000
EEG,relation_destroying,triadic_destruction,mst_similarity,1.000000
EEG,relation_destroying,triadic_destruction,eigenvector_similarity,1.000000
EEG,relation_destroying,triadic_destruction,frobenius_similarity,1.000000
EEG,relation_destroying,mst_scrambling,correlation_similarity,1.000000
EEG,relation_destroying,mst_scrambling,mst_similarity,1.000000
EEG,relation_destroying,mst_scrambling,eigenvector_similarity,1.000000
EEG,relation_destroying,mst_scrambling,frobenius_similarity,1.000000
EEG,relation_destroying,shortest_path_randomization,correlation_similarity,1.000000
EEG,relation_destroying,shortest_path_randomization,mst_similarity,1.000000
EEG,relation_destroying,shortest_path_randomization,eigenvector_similarity,1.000000
EEG,relation_destroying,shortest_path_randomization,frobenius_similarity,1.000000
EEG,relation_destroying,recurrence_destruction,correlation_similarity,0.063629
EEG,relation_destroying,recurrence_destruction,mst_similarity,0.076923
EEG,relation_destroying,recurrence_destruction,eigenvector_similarity,0.121207
EEG,relation_destroying,recurrence_destruction,frobenius_similarity,0.342603
EEG,relation_destroying,random_graph_rewiring,correlation_similarity,1.000000
EEG,relation_destroying,random_graph_rewiring,mst_similarity,1.000000
