system,condition,metric,value
EEG,A,organization,0.894938
EEG,A,similarity,-0.411982
EEG,A,half_life,1.723054
EEG,A,r_squared,0.039209
EEG,B,organization,0.292478
EEG,B,similarity,-0.260883
EEG,B,half_life,3.351889
EEG,B,r_squared,0.020482
EEG,C,organization,0.259553
EEG,C,similarity,-0.417177
EEG,D,organization,1.848317
EEG,D,similarity,1.000000
EEG,D,half_life,47.619356
EEG,D,r_squared,0.146552
Kuramoto,A,organization,6.647865
Kuramoto,A,similarity,0.992572
Kuramoto,A,half_life,10.343984
Kuramoto,A,r_squared,0.012731
Kuramoto,B,organization,0.300303
Kuramoto,B,similarity,0.154989
Kuramoto,B,half_life,693.147181
Kuramoto,B,r_squared,0.012433
Kuramoto,C,organization,0.309386
Kuramoto,C,similarity,0.492163
Kuramoto,D,organization,6.671281
Kuramoto,D,similarity,1.000000
Kuramoto,D,half_life,0.540157
Kuramoto,D,r_squared,0.117881
Logistic,A,organization,0.403511
Logistic,A,similarity,0.116042
Logistic,A,half_life,5.930872
Logistic,A,r_squared,0.001096
Logistic,B,organization,0.306543
Logistic,B,similarity,0.059035
Logistic,B,half_life,14.044377
Logistic,B,r_squared,0.000806
Logistic,C,organization,0.303611
Logistic,C,similarity,0.209426
Logistic,D,organization,0.411223
Logistic,D,similarity,1.000000
Logistic,D,half_life,14.704706
Logistic,D,r_squared,0.008060

system,dynamical_necessity_index,attractor_return_prob,regen_score
EEG,-0.151099,0.000000,-0.411982
Kuramoto,0.837584,1.000000,0.992572
Logistic,0.057007,1.000000,0.116042
