experiment,condition,K,DNI,R,baseline_org
topology,alltoall,0.000000,0.133045,0.318224,6.485989
topology,alltoall,0.001000,-0.106003,0.326908,6.541360
topology,alltoall,0.005000,-0.030555,0.262762,6.496404
topology,alltoall,0.010000,-0.044064,0.260212,6.461271
topology,alltoall,0.020000,-0.128828,0.321333,6.454142
topology,alltoall,0.030000,0.470028,0.399185,6.447757
topology,alltoall,0.050000,-0.041763,0.295525,6.418785
topology,alltoall,0.070000,-0.264589,0.363929,6.471687
topology,alltoall,0.100000,-0.203500,0.415649,6.427497
topology,alltoall,0.150000,0.419554,0.497731,6.334426
topology,alltoall,0.200000,0.541878,0.622788,6.544376
topology,alltoall,0.300000,0.909623,0.885095,6.480399
topology,alltoall,0.500000,0.846255,0.945878,6.558167
topology,alltoall,0.800000,0.993782,0.970311,6.794514
topology,alltoall,1.000000,0.876997,0.990612,6.780554
topology,erdos_renyi,0.000000,0.133045,0.318224,6.485989
topology,erdos_renyi,0.001000,-0.108923,0.325051,6.543324
topology,erdos_renyi,0.005000,-0.013952,0.262948,6.489235
topology,erdos_renyi,0.010000,-0.020848,0.255758,6.464358
topology,erdos_renyi,0.020000,-0.201181,0.321785,6.455762
topology,erdos_renyi,0.030000,0.551610,0.398839,6.448112
topology,erdos_renyi,0.050000,0.275034,0.311790,6.424233
topology,erdos_renyi,0.070000,-0.192184,0.336520,6.478562
topology,erdos_renyi,0.100000,0.097096,0.365249,6.433243
topology,erdos_renyi,0.150000,0.271662,0.422854,6.347304
topology,erdos_renyi,0.200000,0.583673,0.559316,6.495545
topology,erdos_renyi,0.300000,0.883552,0.775954,6.434739
topology,erdos_renyi,0.500000,0.863537,0.721701,6.487726
topology,erdos_renyi,0.800000,1.221443,0.816212,6.442944
topology,erdos_renyi,1.000000,0.921034,0.981527,6.757189
topology,ring_1d,0.000000,0.133045,0.318224,6.485989
topology,ring_1d,0.001000,-0.107604,0.325029,6.542005
topology,ring_1d,0.005000,-0.028325,0.265458,6.490320
topology,ring_1d,0.010000,-0.013147,0.262579,6.469754
topology,ring_1d,0.020000,0.094211,0.372511,6.452011
topology,ring_1d,0.030000,0.408111,0.374111,6.442695
topology,ring_1d,0.050000,0.323426,0.230309,6.437112
topology,ring_1d,0.070000,-0.207911,0.388479,6.496362
topology,ring_1d,0.100000,0.087007,0.427784,6.416719
topology,ring_1d,0.150000,0.678657,0.424289,6.363247
topology,ring_1d,0.200000,0.760791,0.543710,6.504259
topology,ring_1d,0.300000,1.066704,0.548372,6.428987
topology,ring_1d,0.500000,0.724841,0.803910,6.401114
topology,ring_1d,0.800000,0.033152,0.118260,6.355717
topology,ring_1d,1.000000,-0.369619,0.976863,6.642503
topology,scale_free,0.000000,0.133045,0.318224,6.485989
topology,scale_free,0.001000,-0.108174,0.326434,6.537068
topology,scale_free,0.005000,-0.019576,0.262787,6.503822
topology,scale_free,0.010000,-0.045074,0.253836,6.462954
topology,scale_free,0.020000,-0.034848,0.330260,6.455267
topology,scale_free,0.030000,0.430001,0.369960,6.450535
topology,scale_free,0.050000,-0.158603,0.263603,6.426501
topology,scale_free,0.070000,0.292336,0.388990,6.469715
topology,scale_free,0.100000,0.034395,0.461445,6.447463
topology,scale_free,0.150000,0.056349,0.406433,6.366772
topology,scale_free,0.200000,0.579629,0.508834,6.538347
topology,scale_free,0.300000,0.955244,0.829337,6.491799
topology,scale_free,0.500000,0.735330,0.857227,6.433807
topology,scale_free,0.800000,0.756430,0.965906,6.601355
topology,scale_free,1.000000,0.950163,0.988158,6.664144
topology,small_world,0.000000,0.133045,0.318224,6.485989
topology,small_world,0.001000,-0.107134,0.325875,6.538401
topology,small_world,0.005000,-0.039999,0.266666,6.491941
topology,small_world,0.010000,-0.029731,0.256341,6.465214
topology,small_world,0.020000,-0.081250,0.342120,6.453655
topology,small_world,0.030000,0.432320,0.380765,6.454312
topology,small_world,0.050000,0.272166,0.332957,6.420925
topology,small_world,0.070000,0.018831,0.379522,6.467667
topology,small_world,0.100000,0.140935,0.488595,6.424652
topology,small_world,0.150000,0.360923,0.486135,6.328055
topology,small_world,0.200000,0.316300,0.356432,6.525640
topology,small_world,0.300000,0.505075,0.834982,6.454069
topology,small_world,0.500000,0.620923,0.914018,6.541827
topology,small_world,0.800000,0.968281,0.952934,6.750277
topology,small_world,1.000000,0.868889,0.985559,6.722344
heterogeneity,0.01,0.000000,0.268762,0.081788,6.442808
heterogeneity,0.01,0.001000,-0.209160,0.073751,6.497908
