Dataset,k,D_eff,std
TRIBE,5,2.035301917290542,0.524826685325961
TRIBE,10,2.0437152591832595,0.6557504344723272
TRIBE,20,2.177607484291072,0.634101633037082
TRIBE,50,3.5035295181552204,0.6580355723862452
TRIBE,100,4.211847999250925,0.6512544663358227
TRIBE,200,4.410129287644546,0.604841513391189
uniform_sphere,5,3.690301998368669,0.13207405133376582
uniform_sphere,10,7.5804069486382275,0.2514843644934328
uniform_sphere,20,13.66698387723607,0.3894694775015645
uniform_sphere,50,24.562661168149056,0.4987219154104681
uniform_sphere,100,32.98273076684472,0.44265536871785416
uniform_sphere,200,39.72278268529809,0.32507547868218845
gaussian_cloud,5,3.711033150094815,0.122983569145418
gaussian_cloud,10,7.622183196136924,0.24465969706722773
gaussian_cloud,20,13.728963297132575,0.383436256433939
gaussian_cloud,50,24.657760164243236,0.49036781884121444
gaussian_cloud,100,33.06944905179285,0.4335682410553861
gaussian_cloud,200,39.77524615531678,0.31545169672510986
sparse,5,3.2589972580796207,0.3072991480754982
sparse,10,6.2883338006964005,0.5383784645889457
sparse,20,11.024527716761972,0.8029286132334876
sparse,50,20.311799207317176,1.2924867140678689
sparse,100,28.929553662160863,1.4596074338155691
sparse,200,37.25731940016792,1.1000982211981223
manifold,5,3.7065255031114015,0.12730174876990571
manifold,10,7.60476456281542,0.24779279379236352
manifold,20,13.686573092521721,0.392394021983531
manifold,50,24.567456084661657,0.49100338627711493
manifold,100,32.913454754669594,0.4412995063189689
manifold,200,39.602180705467994,0.3197265976778886
hierarchical,5,3.1601490740776956,0.45985176583968457
hierarchical,10,6.670585863848188,0.7715643288391069
hierarchical,20,12.230807043610515,1.3896739264225488
hierarchical,50,22.579326410872994,2.1644655620451467
hierarchical,100,31.15343529584606,2.257874179881964
hierarchical,200,38.331601788755776,1.7777526906250194
