k,D_eff,std,log_k,log_D_eff,first_deriv,second_deriv
5,1.7489423972638043,0.4704343861695504,1.6094379124341003,0.5590112608250413,0.05367394926957515,0.004966765351799024
10,1.8152354928568781,0.3836288846958712,2.302585092994046,0.5962152074307648,0.05711664866967747,0.10988894068171934
20,1.8930546641451511,0.4956100685201895,2.995732273553991,0.6381917488018811,0.2060123680860807,0.4331987812687325
30,2.1302117696740583,0.6001716002622882,3.4011973816621555,0.7562213971614433,0.43345695656493327,0.4138125709533992
50,2.9132232964687863,0.6919913895496275,3.912023005428146,1.069260130195221,0.5501523317414074,-0.04894488883159809
75,3.5685609756005534,0.6957826360890872,4.31748811353631,1.272162426462643,0.4410330170520922,-0.307724986447238
100,4.0024965411669,0.7056897628867109,4.605170185988092,1.3869183017201894,0.3446265236582653,-0.3312006459814423
150,4.462180804421424,0.6842838163869974,5.0106352940962555,1.4956376161265086,0.21257299013936093,-0.2935321654748272
200,4.69008227370309,0.6716437335993516,5.298317366548036,1.545450124671719,0.1346916954119326,-0.24517213888816256
300,4.845664522120344,0.6907900218329824,5.703782474656201,1.5780843922060572,0.04988281675468853,-0.19130751655050404
400,4.885092664790287,0.6911993194667241,5.991464547107982,1.5861882545656585,-0.0015080855683953232,-0.18988481708790442
500,4.8584284953271935,0.6931767672121067,6.214608098422191,1.5807150307509956,-0.04582632613756532,-0.18461931522021582
750,4.694737904258133,0.690031145960411,6.620073206530356,1.546442286662822,-0.1103763116711094,-0.10336660072114795
1000,4.524073477822731,0.6640605963705738,6.907755278982137,1.5094127999041906,-0.12871669910831166,-0.06375227792575203
